variant,label,family,role,split,task_id,seed,shifted,score
original,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,105,True,0.5776
utility_only,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,105,True,0.3809
balanced,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,105,True,0.71975
adaptation_heavy,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,105,True,0.739835
adaptation_light,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,105,True,0.6176699999999999
no_coherence,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,105,True,0.6268849999999999
original,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,106,True,0.4237
utility_only,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,106,True,0.4473
balanced,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,106,True,0.40392
adaptation_heavy,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,106,True,0.35655499999999996
adaptation_light,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,106,True,0.49337999999999993
no_coherence,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,106,True,0.321015
original,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,106,True,0.354
utility_only,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,106,True,0.3599
balanced,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,106,True,0.374165
adaptation_heavy,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,106,True,0.3276
adaptation_light,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,106,True,0.446145
no_coherence,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,106,True,0.283655
original,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,106,True,0.4253
utility_only,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,106,True,0.5078
balanced,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,106,True,0.50312
adaptation_heavy,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,106,True,0.42773
adaptation_light,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,106,True,0.60468
no_coherence,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,106,True,0.42929000000000006
original,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,107,True,0.3726
utility_only,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,107,True,0.3404
balanced,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,107,True,0.36851
adaptation_heavy,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,107,True,0.32148999999999994
adaptation_light,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,107,True,0.4365899999999999
no_coherence,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,107,True,0.27722
original,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,107,True,0.4012
utility_only,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,107,True,0.3392
balanced,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,107,True,0.43567999999999996
adaptation_heavy,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,107,True,0.36872
adaptation_light,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,107,True,0.50352
no_coherence,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,107,True,0.33655999999999997
original,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,107,True,0.5716
utility_only,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,107,True,0.4178
balanced,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,107,True,0.70067
adaptation_heavy,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,107,True,0.70763
adaptation_light,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,107,True,0.62853
no_coherence,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,107,True,0.61334
original,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,108,True,0.3543
utility_only,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,108,True,0.3087
balanced,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,108,True,0.34848
adaptation_heavy,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,108,True,0.308045
adaptation_light,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,108,True,0.41022
no_coherence,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,108,True,0.24478499999999997
original,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,108,True,0.3808
utility_only,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,108,True,0.2953
balanced,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,108,True,0.41812
adaptation_heavy,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,108,True,0.353355
adaptation_light,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,108,True,0.47718
no_coherence,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,108,True,0.312415
original,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,108,True,0.5344
utility_only,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,108,True,0.363
balanced,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,108,True,0.6760499999999999
adaptation_heavy,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,108,True,0.68485
adaptation_light,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,108,True,0.59475
no_coherence,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,108,True,0.5805
original,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,109,True,0.3696
utility_only,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,109,True,0.3293
balanced,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,109,True,0.36422
adaptation_heavy,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,109,True,0.32025499999999996
adaptation_light,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,109,True,0.43007999999999996
no_coherence,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,109,True,0.263615
original,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,109,True,0.3986
utility_only,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,109,True,0.3338
balanced,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,109,True,0.43352
adaptation_heavy,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,109,True,0.36683
adaptation_light,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,109,True,0.50028
no_coherence,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,109,True,0.33359
original,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,109,True,0.3605
utility_only,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,109,True,0.4059
balanced,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,109,True,0.46236
adaptation_heavy,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,109,True,0.392065
adaptation_light,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,109,True,0.5435399999999999
no_coherence,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,109,True,0.373245
original,qwen3.5:2b,qwen,primary_model,heldout,task3_startup_week,100,True,0.3645
utility_only,qwen3.5:2b,qwen,primary_model,heldout,task3_startup_week,100,True,0.329
balanced,qwen3.5:2b,qwen,primary_model,heldout,task3_startup_week,100,True,0.35660000000000003
adaptation_heavy,qwen3.5:2b,qwen,primary_model,heldout,task3_startup_week,100,True,0.31515
adaptation_light,qwen3.5:2b,qwen,primary_model,heldout,task3_startup_week,100,True,0.4224
no_coherence,qwen3.5:2b,qwen,primary_model,heldout,task3_startup_week,100,True,0.25595
original,qwen3.5:2b,qwen,primary_model,heldout,task6_incident_response_week,100,True,0.399
utility_only,qwen3.5:2b,qwen,primary_model,heldout,task6_incident_response_week,100,True,0.3346
balanced,qwen3.5:2b,qwen,primary_model,heldout,task6_incident_response_week,100,True,0.43384
adaptation_heavy,qwen3.5:2b,qwen,primary_model,heldout,task6_incident_response_week,100,True,0.36711
adaptation_light,qwen3.5:2b,qwen,primary_model,heldout,task6_incident_response_week,100,True,0.50076
no_coherence,qwen3.5:2b,qwen,primary_model,heldout,task6_incident_response_week,100,True,0.33403000000000005
original,qwen3.5:2b,qwen,primary_model,heldout,task7_quarterly_headcount_plan,100,True,0.3714
utility_only,qwen3.5:2b,qwen,primary_model,heldout,task7_quarterly_headcount_plan,100,True,0.423
balanced,qwen3.5:2b,qwen,primary_model,heldout,task7_quarterly_headcount_plan,100,True,0.4692
adaptation_heavy,qwen3.5:2b,qwen,primary_model,heldout,task7_quarterly_headcount_plan,100,True,0.39805
adaptation_light,qwen3.5:2b,qwen,primary_model,heldout,task7_quarterly_headcount_plan,100,True,0.5538
no_coherence,qwen3.5:2b,qwen,primary_model,heldout,task7_quarterly_headcount_plan,100,True,0.38265000000000005
original,qwen3.5:2b,qwen,primary_model,heldout,task3_startup_week,101,True,0.3748
utility_only,qwen3.5:2b,qwen,primary_model,heldout,task3_startup_week,101,True,0.3496
balanced,qwen3.5:2b,qwen,primary_model,heldout,task3_startup_week,101,True,0.36484
adaptation_heavy,qwen3.5:2b,qwen,primary_model,heldout,task3_startup_week,101,True,0.32236
adaptation_light,qwen3.5:2b,qwen,primary_model,heldout,task3_startup_week,101,True,0.43476
no_coherence,qwen3.5:2b,qwen,primary_model,heldout,task3_startup_week,101,True,0.26728
original,qwen3.5:2b,qwen,primary_model,heldout,task6_incident_response_week,101,True,0.4042
utility_only,qwen3.5:2b,qwen,primary_model,heldout,task6_incident_response_week,101,True,0.3458
balanced,qwen3.5:2b,qwen,primary_model,heldout,task6_incident_response_week,101,True,0.43832
adaptation_heavy,qwen3.5:2b,qwen,primary_model,heldout,task6_incident_response_week,101,True,0.37102999999999997
adaptation_light,qwen3.5:2b,qwen,primary_model,heldout,task6_incident_response_week,101,True,0.5074799999999999
no_coherence,qwen3.5:2b,qwen,primary_model,heldout,task6_incident_response_week,101,True,0.34019
original,qwen3.5:2b,qwen,primary_model,heldout,task7_quarterly_headcount_plan,101,True,0.3813
utility_only,qwen3.5:2b,qwen,primary_model,heldout,task7_quarterly_headcount_plan,101,True,0.4385
balanced,qwen3.5:2b,qwen,primary_model,heldout,task7_quarterly_headcount_plan,101,True,0.4754
adaptation_heavy,qwen3.5:2b,qwen,primary_model,heldout,task7_quarterly_headcount_plan,101,True,0.40347500000000003
adaptation_light,qwen3.5:2b,qwen,primary_model,heldout,task7_quarterly_headcount_plan,101,True,0.5630999999999999
no_coherence,qwen3.5:2b,qwen,primary_model,heldout,task7_quarterly_headcount_plan,101,True,0.39117500000000005
original,qwen3.5:2b,qwen,primary_model,heldout,task3_startup_week,102,True,0.3765
utility_only,qwen3.5:2b,qwen,primary_model,heldout,task3_startup_week,102,True,0.353
balanced,qwen3.5:2b,qwen,primary_model,heldout,task3_startup_week,102,True,0.36619999999999997
adaptation_heavy,qwen3.5:2b,qwen,primary_model,heldout,task3_startup_week,102,True,0.32355
adaptation_light,qwen3.5:2b,qwen,primary_model,heldout,task3_startup_week,102,True,0.43679999999999997
no_coherence,qwen3.5:2b,qwen,primary_model,heldout,task3_startup_week,102,True,0.26915
original,qwen3.5:2b,qwen,primary_model,heldout,task6_incident_response_week,102,True,0.4026
utility_only,qwen3.5:2b,qwen,primary_model,heldout,task6_incident_response_week,102,True,0.3423
balanced,qwen3.5:2b,qwen,primary_model,heldout,task6_incident_response_week,102,True,0.43692
adaptation_heavy,qwen3.5:2b,qwen,primary_model,heldout,task6_incident_response_week,102,True,0.369805
adaptation_light,qwen3.5:2b,qwen,primary_model,heldout,task6_incident_response_week,102,True,0.5053799999999999
no_coherence,qwen3.5:2b,qwen,primary_model,heldout,task6_incident_response_week,102,True,0.33826500000000004
original,qwen3.5:2b,qwen,primary_model,heldout,task7_quarterly_headcount_plan,102,True,0.6104
utility_only,qwen3.5:2b,qwen,primary_model,heldout,task7_quarterly_headcount_plan,102,True,0.4379
balanced,qwen3.5:2b,qwen,primary_model,heldout,task7_quarterly_headcount_plan,102,True,0.73853
adaptation_heavy,qwen3.5:2b,qwen,primary_model,heldout,task7_quarterly_headcount_plan,102,True,0.754425
adaptation_light,qwen3.5:2b,qwen,primary_model,heldout,task7_quarterly_headcount_plan,102,True,0.6505299999999999
no_coherence,qwen3.5:2b,qwen,primary_model,heldout,task7_quarterly_headcount_plan,102,True,0.654215
original,qwen3.5:2b,qwen,primary_model,heldout,task3_startup_week,103,False,0.6466
utility_only,qwen3.5:2b,qwen,primary_model,heldout,task3_startup_week,103,False,0.4699
balanced,qwen3.5:2b,qwen,primary_model,heldout,task3_startup_week,103,False,0.6970857142857143
adaptation_heavy,qwen3.5:2b,qwen,primary_model,heldout,task3_startup_week,103,False,0.690775
adaptation_light,qwen3.5:2b,qwen,primary_model,heldout,task3_startup_week,103,False,0.6466
no_coherence,qwen3.5:2b,qwen,primary_model,heldout,task3_startup_week,103,False,0.5834928571428571
original,qwen3.5:2b,qwen,primary_model,heldout,task6_incident_response_week,103,False,0.5915
utility_only,qwen3.5:2b,qwen,primary_model,heldout,task6_incident_response_week,103,False,0.3765
balanced,qwen3.5:2b,qwen,primary_model,heldout,task6_incident_response_week,103,False,0.6437142857142858
adaptation_heavy,qwen3.5:2b,qwen,primary_model,heldout,task6_incident_response_week,103,False,0.6362916666666667
adaptation_light,qwen3.5:2b,qwen,primary_model,heldout,task6_incident_response_week,103,False,0.5843333333333335
no_coherence,qwen3.5:2b,qwen,primary_model,heldout,task6_incident_response_week,103,False,0.5101071428571429
original,qwen3.5:2b,qwen,primary_model,heldout,task7_quarterly_headcount_plan,103,False,0.5932
utility_only,qwen3.5:2b,qwen,primary_model,heldout,task7_quarterly_headcount_plan,103,False,0.5279
balanced,qwen3.5:2b,qwen,primary_model,heldout,task7_quarterly_headcount_plan,103,False,0.7302285714285716
adaptation_heavy,qwen3.5:2b,qwen,primary_model,heldout,task7_quarterly_headcount_plan,103,False,0.7246083333333334
adaptation_light,qwen3.5:2b,qwen,primary_model,heldout,task7_quarterly_headcount_plan,103,False,0.6852666666666668
no_coherence,qwen3.5:2b,qwen,primary_model,heldout,task7_quarterly_headcount_plan,103,False,0.6290642857142856
original,qwen3.5:2b,qwen,primary_model,heldout,task3_startup_week,104,True,0.3692
utility_only,qwen3.5:2b,qwen,primary_model,heldout,task3_startup_week,104,True,0.3383
balanced,qwen3.5:2b,qwen,primary_model,heldout,task3_startup_week,104,True,0.36032
adaptation_heavy,qwen3.5:2b,qwen,primary_model,heldout,task3_startup_week,104,True,0.318405
adaptation_light,qwen3.5:2b,qwen,primary_model,heldout,task3_startup_week,104,True,0.42797999999999997
no_coherence,qwen3.5:2b,qwen,primary_model,heldout,task3_startup_week,104,True,0.261065
original,qwen3.5:2b,qwen,primary_model,heldout,task6_incident_response_week,104,True,0.3864
utility_only,qwen3.5:2b,qwen,primary_model,heldout,task6_incident_response_week,104,True,0.3074
balanced,qwen3.5:2b,qwen,primary_model,heldout,task6_incident_response_week,104,True,0.42296
adaptation_heavy,qwen3.5:2b,qwen,primary_model,heldout,task6_incident_response_week,104,True,0.35758999999999996
adaptation_light,qwen3.5:2b,qwen,primary_model,heldout,task6_incident_response_week,104,True,0.48444
no_coherence,qwen3.5:2b,qwen,primary_model,heldout,task6_incident_response_week,104,True,0.31907
original,qwen3.5:2b,qwen,primary_model,heldout,task7_quarterly_headcount_plan,104,True,0.355
utility_only,qwen3.5:2b,qwen,primary_model,heldout,task7_quarterly_headcount_plan,104,True,0.3973
balanced,qwen3.5:2b,qwen,primary_model,heldout,task7_quarterly_headcount_plan,104,True,0.45892
adaptation_heavy,qwen3.5:2b,qwen,primary_model,heldout,task7_quarterly_headcount_plan,104,True,0.389055
adaptation_light,qwen3.5:2b,qwen,primary_model,heldout,task7_quarterly_headcount_plan,104,True,0.53838
no_coherence,qwen3.5:2b,qwen,primary_model,heldout,task7_quarterly_headcount_plan,104,True,0.36851500000000004
original,qwen3.5:2b,qwen,primary_model,heldout,task3_startup_week,105,True,0.3959
utility_only,qwen3.5:2b,qwen,primary_model,heldout,task3_startup_week,105,True,0.3319
balanced,qwen3.5:2b,qwen,primary_model,heldout,task3_startup_week,105,True,0.40276
adaptation_heavy,qwen3.5:2b,qwen,primary_model,heldout,task3_startup_week,105,True,0.346165
adaptation_light,qwen3.5:2b,qwen,primary_model,heldout,task3_startup_week,105,True,0.46914
no_coherence,qwen3.5:2b,qwen,primary_model,heldout,task3_startup_week,105,True,0.302545
original,qwen3.5:2b,qwen,primary_model,heldout,task6_incident_response_week,105,True,0.3821
utility_only,qwen3.5:2b,qwen,primary_model,heldout,task6_incident_response_week,105,True,0.3081
balanced,qwen3.5:2b,qwen,primary_model,heldout,task6_incident_response_week,105,True,0.41751
adaptation_heavy,qwen3.5:2b,qwen,primary_model,heldout,task6_incident_response_week,105,True,0.352105
adaptation_light,qwen3.5:2b,qwen,primary_model,heldout,task6_incident_response_week,105,True,0.47912999999999994
no_coherence,qwen3.5:2b,qwen,primary_model,heldout,task6_incident_response_week,105,True,0.319455
original,qwen3.5:2b,qwen,primary_model,heldout,task7_quarterly_headcount_plan,105,True,0.5648
utility_only,qwen3.5:2b,qwen,primary_model,heldout,task7_quarterly_headcount_plan,105,True,0.382
balanced,qwen3.5:2b,qwen,primary_model,heldout,task7_quarterly_headcount_plan,105,True,0.70471
adaptation_heavy,qwen3.5:2b,qwen,primary_model,heldout,task7_quarterly_headcount_plan,105,True,0.71958
adaptation_light,qwen3.5:2b,qwen,primary_model,heldout,task7_quarterly_headcount_plan,105,True,0.61317
no_coherence,qwen3.5:2b,qwen,primary_model,heldout,task7_quarterly_headcount_plan,105,True,0.6120099999999999
original,qwen3.5:2b,qwen,primary_model,heldout,task3_startup_week,106,True,0.426
utility_only,qwen3.5:2b,qwen,primary_model,heldout,task3_startup_week,106,True,0.4521
