model,family,size_b,provider_mode,provenance,split,task_id,task_bucket,episode_count,shifted_episode_count,no_shift_episode_count,adaptation_scored_episode_count,zero_adaptation_episode_rate,nonzero_adaptation_episode_rate,mean_adaptation_score,mean_detection_delay_steps,mean_post_shift_recovery,mean_post_shift_regret,mean_coherence_score,mean_constraint_score,mean_final_utility_score
deepseek-r1:1.5b,deepseek-r1,1.5,ollama_local,empirical_strengthening_family_expansion,core,task6_incident_response_week,main,10,9,1,9,1.0,0.0,0.0,3.111111111111111,0.0,0.7564,0.97409,1.0,0.33613
deepseek-r1:1.5b,deepseek-r1,1.5,ollama_local,empirical_strengthening_family_expansion,heldout,task6_incident_response_week,main,10,9,1,9,1.0,0.0,0.0,3.111111111111111,0.0,0.8381333333333334,0.9582799999999999,1.0,0.33625999999999995
deepseek-r1:8b,deepseek-r1,8.0,ollama_local,clean_rerun,core,task6_incident_response_week,main,10,9,1,9,0.7777777777777778,0.2222222222222222,0.18963333333333335,2.4444444444444446,0.14980000000000002,0.3393555555555556,0.7199099999999999,0.92857,0.33297000000000004
deepseek-r1:8b,deepseek-r1,8.0,ollama_local,clean_rerun,heldout,task6_incident_response_week,main,10,9,1,9,0.7777777777777778,0.2222222222222222,0.18473333333333333,2.5555555555555554,0.1389111111111111,0.4271666666666667,0.76888,0.8857099999999999,0.34081
deepseek-r1:14b,deepseek-r1,14.0,ollama_local,clean_rerun,core,task6_incident_response_week,main,10,9,1,9,0.7777777777777778,0.2222222222222222,0.19467777777777778,2.5555555555555554,0.1610111111111111,0.3465777777777778,0.76864,0.94285,0.337
deepseek-r1:14b,deepseek-r1,14.0,ollama_local,clean_rerun,heldout,task6_incident_response_week,main,10,9,1,9,1.0,0.0,0.0,3.111111111111111,0.0,0.5499999999999999,0.8047400000000001,0.8285600000000001,0.34443999999999997
gemma4:e2b,gemma4,2.0,ollama_local,empirical_strengthening_family_expansion,core,task6_incident_response_week,main,10,9,1,9,1.0,0.0,0.0,3.111111111111111,0.0,0.7738,0.95747,0.99286,0.33494
gemma4:e2b,gemma4,2.0,ollama_local,empirical_strengthening_family_expansion,heldout,task6_incident_response_week,main,10,9,1,9,1.0,0.0,0.0,3.111111111111111,0.0,0.7378,0.9594100000000001,1.0,0.3387899999999999
gemma4:e4b,gemma4,4.0,ollama_local,post_cleanup_family_run,core,task6_incident_response_week,main,10,9,1,9,0.7777777777777778,0.2222222222222222,0.1811111111111111,2.5555555555555554,0.13086666666666666,0.3582222222222222,0.7700600000000001,0.92857,0.33956
gemma4:e4b,gemma4,4.0,ollama_local,post_cleanup_family_run,heldout,task6_incident_response_week,main,10,9,1,9,1.0,0.0,0.0,3.111111111111111,0.0,0.47576666666666667,0.73655,0.8857200000000001,0.34695
gemma4:26b,gemma4,26.0,ollama_local,post_cleanup_family_run,core,task6_incident_response_week,main,20,18,2,18,0.6111111111111112,0.3888888888888889,0.29762222222222223,2.111111111111111,0.254,0.554811111111111,0.3963399999999999,0.9357099999999999,0.33506
gemma4:26b,gemma4,26.0,ollama_local,post_cleanup_family_run,heldout,task6_incident_response_week,main,20,18,2,18,0.9444444444444444,0.05555555555555555,0.032850000000000004,3.0555555555555554,0.05037222222222222,0.5528888888888889,0.5554600000000001,0.8571350000000001,0.34375999999999995
gpt-oss:20b,gpt-oss,20.0,ollama_local,post_cleanup_family_run,core,task6_incident_response_week,main,10,9,1,9,0.6666666666666666,0.3333333333333333,0.2765666666666666,2.3333333333333335,0.2071777777777778,0.38828888888888885,0.72077,0.8785700000000001,0.33978
gpt-oss:20b,gpt-oss,20.0,ollama_local,post_cleanup_family_run,heldout,task6_incident_response_week,main,10,9,1,9,1.0,0.0,0.0,3.111111111111111,0.0,0.5634444444444444,0.7740000000000001,0.8,0.34429
qwen3.5:2b,qwen,2.0,ollama_local,clean_rerun,core,task6_incident_response_week,main,10,9,1,9,1.0,0.0,0.0,3.111111111111111,0.0,0.7776000000000001,0.99633,0.9571400000000001,0.33443000000000006
qwen3.5:2b,qwen,2.0,ollama_local,clean_rerun,heldout,task6_incident_response_week,main,10,9,1,9,1.0,0.0,0.0,3.111111111111111,0.0,0.7849222222222223,0.9961800000000001,1.0,0.33624
qwen3.5:9b,qwen,9.0,ollama_local,clean_rerun,core,task6_incident_response_week,main,10,9,1,9,0.7777777777777778,0.2222222222222222,0.1811111111111111,2.5555555555555554,0.13086666666666666,0.49014444444444444,0.7948099999999999,0.8857200000000001,0.33731
qwen3.5:9b,qwen,9.0,ollama_local,clean_rerun,heldout,task6_incident_response_week,main,10,9,1,9,1.0,0.0,0.0,3.111111111111111,0.0,0.5785666666666667,0.91173,0.7142899999999999,0.34129
qwen3.5:27b,qwen,27.0,ollama_local,empirical_strengthening_core_topup,core,task6_incident_response_week,main,20,11,9,11,0.9090909090909091,0.09090909090909091,0.06002727272727273,2.4545454545454546,0.022281818181818184,0.5958545454545455,0.8594899999999999,0.7857100000000001,0.346125
qwen3.5:27b,qwen,27.0,ollama_local,empirical_strengthening_core_topup,heldout,task6_incident_response_week,main,10,9,1,9,1.0,0.0,0.0,3.111111111111111,0.0,0.9004666666666665,0.02679,1.0,0.32877
deepseek-r1:1.5b,deepseek-r1,1.5,ollama_local,empirical_strengthening_family_expansion,core,task7_quarterly_headcount_plan,main,10,9,1,9,0.5555555555555556,0.4444444444444444,0.36675555555555556,1.6666666666666667,0.3149666666666667,0.3008666666666666,1.0,1.0,0.42966000000000004
deepseek-r1:1.5b,deepseek-r1,1.5,ollama_local,empirical_strengthening_family_expansion,heldout,task7_quarterly_headcount_plan,main,10,9,1,9,0.5555555555555556,0.4444444444444444,0.3613333333333333,1.6666666666666667,0.30593333333333333,0.2884444444444444,1.0,1.0,0.43106
deepseek-r1:8b,deepseek-r1,8.0,ollama_local,clean_rerun,core,task7_quarterly_headcount_plan,main,10,9,1,9,0.8888888888888888,0.1111111111111111,0.09903333333333333,2.6666666666666665,0.09097777777777777,0.3689,0.95,1.0,0.41215999999999997
deepseek-r1:8b,deepseek-r1,8.0,ollama_local,clean_rerun,heldout,task7_quarterly_headcount_plan,main,10,9,1,9,0.5555555555555556,0.4444444444444444,0.3613333333333333,1.6666666666666667,0.30593333333333333,0.2884444444444444,1.0,1.0,0.43106
deepseek-r1:14b,deepseek-r1,14.0,ollama_local,clean_rerun,core,task7_quarterly_headcount_plan,main,10,9,1,9,0.5555555555555556,0.4444444444444444,0.36675555555555556,1.6666666666666667,0.3149666666666667,0.3008666666666666,1.0,1.0,0.42966000000000004
deepseek-r1:14b,deepseek-r1,14.0,ollama_local,clean_rerun,heldout,task7_quarterly_headcount_plan,main,10,9,1,9,0.5555555555555556,0.4444444444444444,0.3613333333333333,1.6666666666666667,0.30593333333333333,0.2884444444444444,1.0,1.0,0.43106
gemma4:e2b,gemma4,2.0,ollama_local,empirical_strengthening_family_expansion,core,task7_quarterly_headcount_plan,main,10,9,1,9,0.8888888888888888,0.1111111111111111,0.10582222222222222,2.6666666666666665,0.10228888888888889,0.3186333333333333,1.0,0.9,0.42928
gemma4:e2b,gemma4,2.0,ollama_local,empirical_strengthening_family_expansion,heldout,task7_quarterly_headcount_plan,main,10,9,1,9,0.8888888888888888,0.1111111111111111,0.09721111111111111,2.6666666666666665,0.08794444444444444,0.14876666666666666,1.0,1.0,0.43998
gemma4:e4b,gemma4,4.0,ollama_local,post_cleanup_family_run,core,task7_quarterly_headcount_plan,main,10,9,1,9,0.4444444444444444,0.5555555555555556,0.28300000000000003,1.6666666666666667,0.4409888888888889,0.32642222222222217,0.8181499999999999,1.0,0.42817
gemma4:e4b,gemma4,4.0,ollama_local,post_cleanup_family_run,heldout,task7_quarterly_headcount_plan,main,10,9,1,9,0.4444444444444444,0.5555555555555556,0.3146222222222222,1.4444444444444444,0.4050888888888889,0.2692888888888889,0.75,1.0,0.43041
gemma4:26b,gemma4,26.0,ollama_local,post_cleanup_family_run,core,task7_quarterly_headcount_plan,main,20,18,2,18,0.9444444444444444,0.05555555555555555,0.027411111111111112,2.8333333333333335,0.05432222222222222,0.14771111111111113,0.8179550000000001,1.0,0.45539499999999994
gemma4:26b,gemma4,26.0,ollama_local,post_cleanup_family_run,heldout,task7_quarterly_headcount_plan,main,20,18,2,18,1.0,0.0,0.0,3.0,0.0,0.09161666666666665,0.837995,1.0,0.46214500000000003
gpt-oss:20b,gpt-oss,20.0,ollama_local,post_cleanup_family_run,core,task7_quarterly_headcount_plan,main,10,9,1,9,0.8888888888888888,0.1111111111111111,0.0834,2.4444444444444446,0.1851888888888889,0.325,0.47942999999999997,1.0,0.43698
gpt-oss:20b,gpt-oss,20.0,ollama_local,post_cleanup_family_run,heldout,task7_quarterly_headcount_plan,main,10,9,1,9,0.7777777777777778,0.2222222222222222,0.09685555555555554,2.6666666666666665,0.19504444444444444,0.14604444444444445,0.82311,1.0,0.45721
qwen3.5:2b,qwen,2.0,ollama_local,clean_rerun,core,task7_quarterly_headcount_plan,main,10,9,1,9,0.5555555555555556,0.4444444444444444,0.36675555555555556,1.6666666666666667,0.3149666666666667,0.3008666666666666,1.0,1.0,0.42966000000000004
qwen3.5:2b,qwen,2.0,ollama_local,clean_rerun,heldout,task7_quarterly_headcount_plan,main,10,9,1,9,0.5555555555555556,0.4444444444444444,0.3613333333333333,1.6666666666666667,0.30593333333333333,0.2884444444444444,1.0,1.0,0.43106
qwen3.5:9b,qwen,9.0,ollama_local,clean_rerun,core,task7_quarterly_headcount_plan,main,10,9,1,9,0.5555555555555556,0.4444444444444444,0.3758666666666667,1.6666666666666667,0.3301444444444444,0.3193555555555555,1.0,1.0,0.42536000000000007
qwen3.5:9b,qwen,9.0,ollama_local,clean_rerun,heldout,task7_quarterly_headcount_plan,main,10,9,1,9,0.5555555555555556,0.4444444444444444,0.3613333333333333,1.6666666666666667,0.30593333333333333,0.2884444444444444,1.0,1.0,0.43106
qwen3.5:27b,qwen,27.0,ollama_local,empirical_strengthening_core_topup,core,task7_quarterly_headcount_plan,main,20,11,9,11,0.6363636363636364,0.36363636363636365,0.2810727272727273,2.0,0.3119,0.1933272727272727,0.79083,1.0,0.4552299999999999
qwen3.5:27b,qwen,27.0,ollama_local,empirical_strengthening_core_topup,heldout,task7_quarterly_headcount_plan,main,10,9,1,9,0.5555555555555556,0.4444444444444444,0.36288888888888887,1.6666666666666667,0.3085222222222222,0.27497777777777777,0.96667,1.0,0.43193000000000004
